[2025-09-24 19:34:08] User: admin (ID: 1) | IP: ::1 | Action: New registration | Details: Student code: STU5560, Email: pklks@gmail.com
[2025-09-24 19:35:17] User: admin (ID: 1) | IP: ::1 | Action: Registration approved | Details: Registration ID: 4
[2025-09-24 19:35:24] User: admin (ID: 1) | IP: ::1 | Action: User logout | Details: Username: admin
[2025-09-25 00:43:37] User: anonymous (ID: anonymous) | IP: ::1 | Action: New registration | Details: Student code: STU1798, Email: lksdk@gmail.com
[2025-09-25 00:44:03] User: admin (ID: 1) | IP: ::1 | Action: User login | Details: Username: admin
[2025-09-25 00:45:13] User: admin (ID: 1) | IP: ::1 | Action: Registration approved | Details: Registration ID: 5
[2025-09-25 00:45:27] User: admin (ID: 1) | IP: ::1 | Action: Registration deleted | Details: Registration ID: 4
[2025-09-25 01:33:43] User: anonymous (ID: anonymous) | IP: ::1 | Action: New registration | Details: Student code: STU1437, Email: lklksdsdk@gmail.com
[2025-09-25 01:34:01] User: admin (ID: 1) | IP: ::1 | Action: User login | Details: Username: admin
[2025-09-25 01:34:16] User: admin (ID: 1) | IP: ::1 | Action: Registration approved | Details: Registration ID: 6
[2025-09-25 01:43:34] User: admin (ID: 1) | IP: ::1 | Action: User logout | Details: Username: admin
[2025-09-25 01:54:27] User: admin (ID: 1) | IP: ::1 | Action: User login | Details: Username: admin
[2025-09-25 01:56:10] User: admin (ID: 1) | IP: ::1 | Action: New registration | Details: Student code: STU0995, Email: sdfsdk@gmail.com
[2025-09-25 02:05:45] User: admin (ID: 1) | IP: ::1 | Action: Registration rejected | Details: Registration ID: 5
[2025-09-25 02:06:51] User: admin (ID: 1) | IP: ::1 | Action: User logout | Details: Username: admin
[2025-09-25 03:19:25] User: admin (ID: 1) | IP: ::1 | Action: User login | Details: Username: admin
[2025-09-25 03:23:57] User: admin (ID: 1) | IP: ::1 | Action: User logout | Details: Username: admin
[2025-09-25 03:24:04] User: admin (ID: 1) | IP: ::1 | Action: User login | Details: Username: admin
[2025-09-25 03:25:11] User: admin (ID: 1) | IP: ::1 | Action: User logout | Details: Username: admin
[2025-09-25 03:25:33] User: staff (ID: 2) | IP: ::1 | Action: User login | Details: Username: staff
[2025-09-25 03:26:01] User: staff (ID: 2) | IP: ::1 | Action: User logout | Details: Username: staff
[2025-09-25 03:26:37] User: admin (ID: 1) | IP: ::1 | Action: User login | Details: Username: admin
[2025-09-25 03:26:56] User: admin (ID: 1) | IP: ::1 | Action: User logout | Details: Username: admin
[2025-09-25 03:27:03] User: viewer (ID: 3) | IP: ::1 | Action: User login | Details: Username: viewer
[2025-09-25 03:27:26] User: viewer (ID: 3) | IP: ::1 | Action: User logout | Details: Username: viewer
[2025-09-25 03:27:38] User: admin (ID: 1) | IP: ::1 | Action: User login | Details: Username: admin
[2025-09-25 03:28:12] User: admin (ID: 1) | IP: ::1 | Action: User logout | Details: Username: admin
[2025-09-25 03:38:06] User: anonymous (ID: anonymous) | IP: ::1 | Action: New registration | Details: Student code: STU7023, Email: lkldskiwew@gmail.com
[2025-09-25 03:38:27] User: admin (ID: 1) | IP: ::1 | Action: User login | Details: Username: admin
[2025-09-25 03:39:03] User: admin (ID: 1) | IP: ::1 | Action: Registration approved | Details: Registration ID: 8
[2025-09-25 04:01:55] User: admin (ID: 1) | IP: ::1 | Action: New registration | Details: Student code: STU8521, Email: lklksds@gmail.com
[2025-09-25 04:03:18] User: admin (ID: 1) | IP: ::1 | Action: User logout | Details: Username: admin
[2025-09-25 04:18:54] User: admin (ID: 1) | IP: ::1 | Action: User login | Details: Username: admin
[2025-09-25 04:19:04] User: admin (ID: 1) | IP: ::1 | Action: User logout | Details: Username: admin
[2025-09-25 05:07:28] User: admin (ID: 1) | IP: ::1 | Action: User login | Details: Username: admin
[2025-09-25 05:07:43] User: admin (ID: 1) | IP: ::1 | Action: User logout | Details: Username: admin
[2025-09-25 05:11:22] User: anonymous (ID: anonymous) | IP: ::1 | Action: New registration | Details: Student code: STU1084, Email: lklkdsdsd@gmail.com
[2025-09-25 05:17:09] User: anonymous (ID: anonymous) | IP: ::1 | Action: New registration | Details: Student code: STU4197, Email: lklkdsie@gmail.com
[2025-09-25 05:22:19] User: anonymous (ID: anonymous) | IP: ::1 | Action: New registration | Details: Student code: STU8555, Email: lklksie@gmail.com
[2025-09-25 05:54:05] User: admin (ID: 1) | IP: ::1 | Action: User login | Details: Username: admin
[2025-09-25 05:54:21] User: admin (ID: 1) | IP: ::1 | Action: Registration approved | Details: Registration ID: 12
[2025-09-25 05:54:23] User: admin (ID: 1) | IP: ::1 | Action: Registration approved | Details: Registration ID: 11
[2025-09-25 05:54:26] User: admin (ID: 1) | IP: ::1 | Action: Registration approved | Details: Registration ID: 10
[2025-09-25 05:54:28] User: admin (ID: 1) | IP: ::1 | Action: Registration approved | Details: Registration ID: 9
[2025-09-25 05:54:31] User: admin (ID: 1) | IP: ::1 | Action: Registration approved | Details: Registration ID: 7
[2025-09-25 05:54:34] User: admin (ID: 1) | IP: ::1 | Action: Registration approved | Details: Registration ID: 5
[2025-09-25 06:01:50] User: admin (ID: 1) | IP: ::1 | Action: Registration rejected | Details: Registration ID: 12
[2025-09-25 06:01:53] User: admin (ID: 1) | IP: ::1 | Action: Registration set to pending | Details: Registration ID: 8
[2025-09-25 06:02:00] User: admin (ID: 1) | IP: ::1 | Action: User logout | Details: Username: admin
[2025-09-25 06:04:32] User: admin (ID: 1) | IP: ::1 | Action: User login | Details: Username: admin
[2025-09-25 06:07:23] User: anonymous (ID: anonymous) | IP: ::1 | Action: New registration | Details: Student code: STU8110, Email: hasyla@gmail.com
[2025-09-25 06:10:23] User: anonymous (ID: anonymous) | IP: ::1 | Action: New registration | Details: Student code: STU3050, Email: syla@gmail.com
[2025-09-25 06:12:17] User: anonymous (ID: anonymous) | IP: ::1 | Action: New registration | Details: Student code: STU4825, Email: sihfyla@gmail.com
[2025-09-25 06:12:58] User: admin (ID: 1) | IP: ::1 | Action: Registration approved | Details: Registration ID: 15
[2025-09-25 06:19:44] User: admin (ID: 1) | IP: ::1 | Action: Excel export | Details: Exported 13 registrations by admin
[2025-09-25 06:25:50] User: admin (ID: 1) | IP: ::1 | Action: User logout | Details: Username: admin
[2025-09-25 06:26:17] User: admin (ID: 1) | IP: ::1 | Action: User login | Details: Username: admin
[2025-09-25 06:31:46] User: admin (ID: 1) | IP: ::1 | Action: Excel export | Details: Exported 13 registrations as XLSX by admin
[2025-09-25 06:32:46] User: admin (ID: 1) | IP: ::1 | Action: Excel export | Details: Exported 13 registrations as XLSX by admin
[2025-09-25 06:34:37] User: admin (ID: 1) | IP: ::1 | Action: Excel export | Details: Exported 13 registrations as Excel by admin
[2025-09-25 07:03:16] User: admin (ID: 1) | IP: ::1 | Action: User logout | Details: Username: admin
[2025-09-25 07:41:00] User: admin (ID: 1) | IP: ::1 | Action: User login | Details: Username: admin
[2025-09-25 08:00:45] User: anonymous (ID: anonymous) | IP: ::1 | Action: New registration | Details: Student code: STU1212, Email: phaasla@gmail.com
[2025-09-25 08:01:09] User: admin (ID: 1) | IP: ::1 | Action: User login | Details: Username: admin
[2025-09-25 08:06:05] User: admin (ID: 1) | IP: ::1 | Action: Registration approved | Details: Registration ID: 14
[2025-09-25 08:08:57] User: admin (ID: 1) | IP: ::1 | Action: User logout | Details: Username: admin
[2025-09-25 08:09:16] User: admin (ID: 1) | IP: ::1 | Action: User login | Details: Username: admin
[2025-09-25 08:11:09] User: admin (ID: 1) | IP: ::1 | Action: Bulk reject registrations | Details: IDs: 16
[2025-09-25 08:14:24] User: admin (ID: 1) | IP: ::1 | Action: Registration approved | Details: Registration ID: 16
[2025-09-25 08:15:29] User: admin (ID: 1) | IP: ::1 | Action: User logout | Details: Username: admin
[2025-09-25 08:17:49] User: anonymous (ID: anonymous) | IP: ::1 | Action: New registration | Details: Student code: STU6107, Email: p000asyla@gmail.com
[2025-09-25 08:18:01] User: admin (ID: 1) | IP: ::1 | Action: User login | Details: Username: admin
[2025-09-25 08:36:51] User: admin (ID: 1) | IP: ::1 | Action: Excel export | Details: Exported 15 registrations as Excel by admin
